expert,platform,source_url,public_capture_status,observed_post_age_or_date,content_theme,research_note
Jason Bay,LinkedIn,https://www.linkedin.com/posts/jasondbay_7-hard-truths-about-outbound-in-2026-activity-7416509310047911936-VLf_,full public post text visible in search result,3mo as indexed,"Outbound in 2026: mass blasting damages TAM, email alone is weaker, multi-channel + stronger marketing engine matters.","Use this for the project thesis that modern outbound needs careful list governance, stronger value exchange, calling, social, and brand support."
Florin Tatulea,LinkedIn,https://www.linkedin.com/posts/florintatulea_sales-outbound-genai-activity-7207072253325287424-fmlX,full public post text and transcript visible in search result,1y as indexed,"Strategic prospecting with AI should use owned signals plus web signals, not generic autonomous SDR motions.","Use this for the research/system-design section: owned channels, product data, community signals, and website intent can make outreach more relevant."
Eric Nowoslawski,LinkedIn,https://www.linkedin.com/posts/outboundphd_if-youre-thinking-about-using-cold-email-activity-7440022995848335361-U2j1,full public post text visible in search result,3w as indexed,"Cold email is not brand-building; it should be measured as a response/conversion channel with proper unsubscribe and follow-up discipline.","Use this to separate outbound pipeline KPIs from awareness KPIs."
Michel Lieben,LinkedIn,https://www.linkedin.com/posts/michel-lieben_we-completely-changed-the-way-we-run-gtm-activity-7406283164253585408-7q0N,full public post text visible in search result,4mo as indexed,"ColdIQ's GTM workflow combines LinkedIn content, thought-leader ads, visitor/engager segmentation, Clay routing, AI scoring, enrichment, and omnichannel re-engagement.","Use this as a model for turning outbound into an integrated GTM system instead of a standalone email campaign."
Bill Stathopoulos,LinkedIn,https://www.linkedin.com/posts/billstath_everyone-sends-cold-email-on-monday-instantlyai-activity-7445805853833576449-Uo_y,public snippet visible; direct full text limited in search result,last month as indexed,"Cold email execution in 2026: timing, infrastructure, sequencing, deliverability, offers, signal-based outbound, and AI-led outbound.","Use as support for testing send-time, channel mix, and offer hypotheses."
Jack Reamer,LinkedIn,https://www.linkedin.com/posts/jackreamer_b2bsales-networking-leadgeneration-activity-7276974954875633664-Cyx9,full public post text visible in search result,7mo as indexed,"Warm intros beat cold outreach when internal team relationships can open doors.","Use this for a pipeline step before cold outreach: map first-degree/internal connections before sending a cold sequence."
Becc Holland,LinkedIn,https://www.linkedin.com/posts/beccholland-flipthescript_the-number-one-thing-you-can-do-as-an-activity-7435740502286737409-rbn_,full public post text and transcript visible in search result,1mo as indexed,"Outbound performance improves when reps deeply understand the buyer's metrics, industry norms, and problem thresholds.","Use this for message research: identify buyer metrics before writing email copy."
Tito Bohrt,LinkedIn,https://www.linkedin.com/posts/titobohrt_foodforthought-activity-7432420365471154177-wb83,full public post text visible in search result,1mo as indexed,"AI SDR overload has desensitized buyers; true pipeline now requires business acumen, context, and multi-channel messaging.","Use this as a warning against shallow personalization and volume-led AI outreach."
Guillaume Moubeche,LinkedIn,https://www.linkedin.com/posts/playbook-index_brandstrategy-outboundsales-playbookindex-activity-7452298872124616704-hV9C,third-party public post about Guillaume/lemlist,1w as indexed,"lemlist's wedge was intentional cold email: optimize for replies, meetings, and pipeline instead of send volume.","Use as a product/operator case study where personalization features created proof inside the email itself."
Michael Maximoff,LinkedIn,https://www.linkedin.com/posts/michael-maximoff_outreachbenchmarkreport-activity-7364354910458388481-YX4t,full public post text visible in search result,8mo as indexed,"Belkins benchmark report analyzed email, LinkedIn, and call data; reply rates declined and omnichannel/reputation/personalization became more important.","Use as benchmark support for designing a multi-channel pipeline and measuring conversations, not just opens."
